INFO  - 2016-08-04 16:19:31.091; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=*:*&fl=*+score&start=0&fq=结点测试&fq=django_ct:(himalaya.category)&rows=10&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:19:31.097; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(60)+AND+fieldId:(140))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=0 status=0 QTime=1 
INFO  - 2016-08-04 16:19:31.103; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(61)+AND+fieldId:(140))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:31.108; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(61)+AND+fieldId:(140))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:31.112; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=django_id:(57)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:19:31.118; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(57)+AND+subjecttype:(1))&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json&facet=on} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:31.126; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(57)+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:19:31.130; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(57)+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=10&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:39.588; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=*:*&fl=*+score&start=0&fq=玉树&fq=django_ct:(himalaya.category)&rows=10&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:19:39.593; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(27)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:39.598; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(27)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:39.603; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=django_id:(53)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:39.612; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(53)+AND+subjecttype:(1))&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json&facet=on} hits=1 status=0 QTime=3 
INFO  - 2016-08-04 16:19:39.621; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(53)+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:19:39.626; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(53)+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=10&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:19:42.845; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&facet=on&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:19:42.854; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:19:42.859; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:20:26.265; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=*:*&fl=*+score&start=0&fq=玉树州&fq=django_ct:(himalaya.category)&rows=10&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:20:26.269; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(28)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=2 status=0 QTime=0 
INFO  - 2016-08-04 16:20:26.274; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(28)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:20:26.278; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=django_id:(56)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=0 status=0 QTime=0 
